title,alt_title,type,description,genre,author,artist,rate,image,released
Boku no Namae wa “Shounen A”,"My Name Is ""Boy A"", 僕の名前は｢少年A｣",Manga,"Ini tentang seorang anak baikbaik bernama Takashi yang membunuh gurunya pada usia 13 tahun untuk melindungi teman masa kecilnya Yui Ceritanya berkisar pada tragedi yang menimpa mereka berdua tentang kejadian itu




 Post Views 10","Drama, Mature, Romance, School Life, Shounen, Tragedy","Kimizuka Chikara, Yen Hioka",-,8.15,https://komikcast.cz/wp-content/uploads/2020/12/34361v2-e1609076183438.jpg?w=225&q=50,"Oct 23, 2017"
Dain Ironworks,-,Manhwa,"Geografi Candi Goryeosa vol 10 Orangorang dari Desa Besi yang ditinggalkan oleh negara itu mengalahkan tentara Mongolia terkuat di dunia Desa Besi penuh dengan pengungsi senjata dan besi di depan desa ada Jenderal Mongong yang ingin menghancurkan besi dan ratusan tentara Mongol yang mengikutinya jigwi petir Desa Cheolso dan eosahwa umur panjang muda yang dingin kedua pria itu semua berbeda dari status ke kepribadian harus bergabung untuk menghentikan tentara Mongol tetapi kasusnya sedang dalam konflik akankah Dain Cheolso bertahan dari invasi Mongol dan bisakah JiGwi dan EoSaHwa mengatasi Mongke yang kejam



 Post Views 6","Action, Fantasy",-,-,7.3,https://komikcast.cz/wp-content/uploads/2021/04/whatsapp-image-2021-04-17-at-183246-515221-YdFpmXk9.jpeg?w=225&q=50,2021
Stepping Through The Fairy River (Ta Sui Xian He),,Manhua,"Ketika Qin Lie menyadari bahwa martabat hanya dapat dipertahankan dengan kekuatan ia dengan tegas mengambil nasib lempeng bintang dan memulai jalan menjadi dewa menggunakan darah untuk menulis sepotong legenda abadi dewa iblis

 Post Views 8","Action, Martial Arts",,-,7.0,https://komikcast.cz/wp-content/uploads/2019/12/Stepping-Through-The-Fairy-River.jpg?w=225&q=50,2019
What can the eldest lady have?,,Manhua,"Setelah merencanakan selama bertahuntahun putri balas dendam yang mendominasi Tong Yue bertekad untuk membuat semua orang yang melecehkannya membayar harganya tetapi ketika dia menghancurkan musuhmusuhnya dia diganggu oleh Han Tianlin yang tibatiba muncul Tong Yue berkata hadapi dia cukup tampar

 Post Views 6","Adventure, Romance",Zan Wu,-,7.0,?w=225&q=50,2021
Close Mad Doctor,-,Manhua,"Master tak tertandingi yang keluar dari pegunungan mengenalkan pengobatan Tiongkok membangun seni bela diri Tiongkok Kung FU menghapus pembelajaran dunia barat dan mempunyai seorang gadis cantik Dia membuat pengobatan Tiongkok menjadi terkenal di seluruh dunia dan dia membuat Kung Fu menjadi legenda






 Post Views 8","Action, Adventure, Ecchi, Romance",Qiān huì dòngmàn yīzhí kàn,-,7.45,https://komikcast.cz/wp-content/uploads/2021/03/cmd351416524651562316-e1614765377594.jpg?w=225&q=50,?
From Nightmare to Love,เปลี่ยนฝันร้ายให้กลายเป็นรัก,Manhwa,"Sejak putus dengan salah satu cowok paling populer di universitasnya hidup Kan telah berubah bagaikan neraka Cowok itu membuat semua orang menentang kan dan isolasi serta gosip akhirnya membuatnya terpojokkan Namun tibatiba kan di tembak oleh salah seorang teman sekelasnya Yuya yang menarik tetapi kurang ajar Yuya bilang dia ingin membantu kan namun yang terjadi malah sebaliknya Yuya bagaikan iblis itu sendiri






 Post Views 7","Comedy, Drama, Psychological, Romance, School Life, Shoujo, Tragedy",MomoJi,-,7.23,https://komikcast.cz/wp-content/uploads/2021/01/28027-e1610283307980.jpg?w=225&q=50,2020
The Demon King Diaries,,Manhua,"Baru dibebaskan dari belenggu lamaran kuliah Hanra San bertekad untuk melakukan satu hal dan satu hal saja bersenangsenang Sayangnya kebahagiaan yang sangat dinantikannya terganggu ketika pada hari ulang tahunnya dia tibatiba dibawa pergi ke dunia fantasi Tidak hanya dia harus menyesuaikan diri dengan lingkungan barunya tapi dia juga harus berurusan dengan informasi bahwa dia sebenarnya adalah penjelmaan Raja Iblis Tanpa jalan pulang San harus melakukan apa yang perlu dilakukan oleh siapa pun yang seluruh dunianya terbalik Pergi kalahkan iblis Berlatihlah di ruang bawah tanah Menjadi Raja Iblis yang diharapkan semua orang Sungguh seberapa sulitkah itu



 Post Views 7","Adventure, Fantasy",TEN (텐),-,7.3,https://komikcast.cz/wp-content/uploads/2021/04/whatsapp-image-2021-04-29-at-065129-838044-mxh1Dyeh.jpeg?w=225&q=50,2021
Harebare Biyori,"A Fine and Bright Day, 晴れ晴れ日和",Manga,"Suatu hari di pemakaman setelah ibunya Chiharu menikah lagi Chiharu bertemu dengan anak dari ayah tiri pernikahan sebelumnya Rui Rui memutuskan untuk tinggal sendiri setelah kematian kakek yang sudah membesarkanya dan Chiharu memutuskan untuk tinggal dengannya
Sebuah kisah mengenai kebersamaan di antara kedua saudara tiri

 Post Views 5","Comedy, School Life, Slice of Life",Yoshimura Yoshi,-,7.0,https://komikcast.cz/wp-content/uploads/2021/01/hb351421823126547123412-e1610716205419.jpg?w=225&q=50,2020
Getting into Ecchi Romcom Situations,,Manga,"As the title said

 Post Views 7","Comedy, Mecha, Romance",,-,7.0,https://komikcast.cz/wp-content/uploads/2021/05/001-e1620366073100.jpg?w=225&q=50,?
A Story About A Totally Straightforward Girlfriend,"Do Straight na Kanojo no Hanashi, Dosutoreeto na Kanojo no Hanashi, ドストレートな彼女の話",Manga,"Takahashikun sangat menyukai Shimizusan yang dikenal selalu mengatakan apa yang ada di pikirannya kepada semua orang Inilah yang terjadi ketika dia juga benarbenar terus terang dengannya



 Post Views 7","Comedy, Romance, School Life, Shounen, Slice of Life",Kousuke Kiyomiya,-,7.0,https://komikcast.cz/wp-content/uploads/2021/05/ds726534723547123-e1619919171542.jpg?w=225&q=50,2020
Kuro Homura no Sen Otome,"Action, Drama, Ecchi, Fantasy, Harem, School",Manga,"Mengisahkan seorang pria sekolahan yang sedang di transfer ke sekolah yang berbeda sekolah itu sangan menjunjung tinggi pertarungan dan kekuatan dan saat dia masuk pertma kali ke sekolah itu dia tersesat namun ketika dia sampai di di pangil oleh 2 gadis berdada besar untuk menjadi saksi pertarungan mereka namun nasib si MC malah

 Post Views 8","Action, Drama, Ecchi, Fantasy, Harem, School",Takuma kaijoki,-,7.1,https://komikcast.cz/wp-content/uploads/2018/11/Kuro_Homura.jpg?w=225&q=50,2018
