title,alt_title,type,description,genre,author,artist,rate,image,released
Karsearin Adventures of a Red Dragon,"Carsearin, Kaleusealin, Kalsarin, Kalsarin y sus aventuras en el mundo humano, Kalsearin, Kalsearin: The Biography of the Super Dragon, Kalsearin: The Super Dragon Biography, Kareusearin, Karsearin, Карсеарин, Супер Дракон Карсеарин, Супердракон Карсеарин, 赤竜カルセアリン, 超龍傳記 Kalsearin, 雏龙战记, 雛龍戰記, 초룡전기 카르세아린, 카르세아린",Manhwa,Temui Karsearin Alias Arin naga pertama yang kabur dari rumah Suatu hari Arin menggunakan sihir Polymorph untuk mengubah dirinya menjadi manusia dan memulai petualangan ke dunia manusia Tapi dunia manusia berbahaya Bergabunglah dalam petualangannya saat dia dikejar oleh orc dijual dan bahkan menjadi seorang putri,"Adventure, Comedy, Fantasy, Gender Bender, Shounen, Tragedy",Jg52,-,7.0,https://westmanga.fun/wp-content/uploads/2022/11/Karsearin-221x300.jpg,-
Katainaka no Ossan Kensei ni Naru tada no inaka no kenjutsu shihan datta no ni taisei shita deshitachi ga ore wo hottekurenai ken,"An Old Man From the Countryside Becomes a Swords Saint: I Was Just a Rural Sword Teacher, but My Successful Students Won't Leave Me Alone! , 片田舎のおっさん、剣聖になる　～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～",Manga,Beryl Gardenant adalah seorang pria yang menjalankan dojo ilmu pedang kecil di sebuah desa pedesaan Kemuliaan yang dia impikan sebagai pendekar pedang tidak bisa ditemukan di mana pun Dia menghabiskan hariharinya dengan menyebut dirinya orang tua yang membosankan,"Fantasy, Martial arts",-,-,7.0,https://westmanga.fun/wp-content/uploads/2021/09/i361763.jpg,-
Katana Musume,刀娘,Manga,Dalam waktu tertentu di dunia tertentu di mana samurai mengayunkan pedang dan Keshogunan Tokuyama memegang kekuasaan mutlak Ahli pedang legendaris Hiraga Mei memiliki 12 pedang jiwa tempa atas perintah shogun Pedang itu berbentuk wanita dan memiliki kekuatan untuk menghancurkan sebuah negara dengan satu ayunan oleh samurai kesayangan mereka Ayahnya Hiraga dibunuh oleh seseorang jadi Soregashi Tatsumi akan membalaskan dendamnya Bersama Nanashi salah satu pedang buatan Hiraga dia menantang Keshogunan,"Action, Drama, Fantasy, Martial arts, Shounen",KAJI Kento,-,7.0,https://westmanga.fun/wp-content/uploads/2023/02/Katana-Musume-212x300.jpg,-
Katsuben Ouji no Hanayomesan,活弁王子の花嫁さん,Manga,"Waktunya adalah era Taisho 19121926 ketika film masih disebut katsudo shashin Gambar Bergerak Hanae bertunangan untuk menikah dengan keluarga Koushiro yang delapan tahun lebih tua darinya Namun Koushiro ini memiliki nama lain Dia adalah benshi paling populer di generasinya Utsutsubashi Kousei Bagaimana kehidupan pengantin baru Hanae yang menjadi istri seorang pemain sandiwara populer Ini adalah kisah cinta murni dan polos yang dipenuhi oleh pasangan dengan perbedaan usia
Note and untuk kalian yang melihat genre historical dan mau skip jangan dulu karna ini romcom jadi harusnya gak berat amat","Comedy, Historical, Romance, Seinen",Shimazaki Mujirushi,-,7.0,https://westmanga.fun/wp-content/uploads/2022/06/Katsuben-Ouji-no-Hana-210x300.jpg,-
Katsute Kami Datta Kemonotachi e,To the Abandoned Sacred Beasts,Manga,Dalam perang manusia menjadi binatang buas Perang membuat dewa mengalahkan binatang buas Ketika perang berakhir  kemana para dewa pergi Di mana mereka bisa mengistirahatkan kepala mereka yang lelah Serigala berjalan di hutan keputusasaan gurun ratapan lautan kepahitan di masa gelap dan terang Untuk membunuh mereka yang dulunya teman mereka,"Fantasy, Shounen",Maybe,-,6.8,https://westmanga.fun/wp-content/uploads/2021/01/1610726823-2375-cover_250x350-30-214x300.jpg,-
Kawai Taiga no Junana Nichijou Daiichiwa,可愛大我の受難な日常,Manga,Kawai Taiga seorang siswa SMA yang terlalu imut bercitacita menjadi lakilaki di antara lakilaki tapi terhalang karena penampilannya Namun dia terus berjuang Ini adalah komedi harian yang sedikit nakal tentang anak lakilaki seperti itu,"Comedy, School life",Wappa,-,7.0,https://westmanga.fun/wp-content/uploads/2023/03/Kawai-Taiga-no-Junana-Nichijou-Daiichiwa-212x300.jpg,-
Kawaigariya no Hisho to Ore,"可愛がり屋の秘書と俺, Kawai gari-ya no hisho to ore, Kawai gariya no hisho to ore, The cuddly secretary and me",Manga,wansut,"Comedy, Oneshot",Doroshii,-,7.22,https://westmanga.fun/wp-content/uploads/2022/12/Kawaigariya-no-Hisho-to-Ore-300x300.jpg,-
Kawaii Hito A Cute Guy,"A Cute Guy, かわいいひと (Tatsubon)",Manga,Kenzaki adalah anak nakal yang menyelamatkan teman sekelasnya Nakajima dari beberapa pengganggu suatu hari tapi Kenzaki masih belum memberitahunya bahwa dia naksir dia,"Comedy, Crossdressing, Gyaru, Romance",Tatsubon,Tatsubon,6.8,https://westmanga.fun/wp-content/uploads/2022/04/72695e63-b2a3-46c8-b80a-d1b29841fa88.jpg.512-216x300.jpg,2019
Kawaii Joushi Wo Komarasetai,"I want to annoy the pretty boss., 可愛い上司を困らせたい",Manga,Ira Megumi 31 adalah seorang wakil direktur yang sukses di sebuah perusahaan besar Dia terlalu berfokus pada karir hingga dia melupakan urusan asmara dan pernikahan Tapi pada suatu hari di terbangun dikamar bersama Aoki Shun Pegawai Baru Apakah yang baru saja terjadi,"4-Koma, Comedy, Romance, Seinen, Slice of Life",Tachibana Roku (Story & Art),-,7.3,https://westmanga.fun/wp-content/uploads/2021/01/1610787962-3030-images.jpg,"Apr 22, 2015"
Kawaii Kanojochan A Cute Girlfriend,Cô bạn gái dễ thương Kawaii Kanojo-chan かわいい彼女ちゃん A Cute Girlfriend,Manga,Seorang gadis manis datang mengetuk pintu protagonis tapi untuk alasan apa,"Comedy, Romance",semimaru,semimaru,7.2,https://westmanga.fun/wp-content/uploads/2022/03/075c82db-4121-4118-b4b2-05cc8027716a.jpg.256-225x300.jpg,N/A
