title,alt_title,type,description,genre,author,artist,rate,image,released
Sabitsuita Ken wo Tameshi ni Kyoukashite Mitara Tondemonai Maken ni Bakemashita,"Saat Aku Mencoba Memperkuat ""Pedang Berkarat"", Itu Berkembang Menjadi Pedang Sihir Terkuat, When I Tried Strengthening ""Rusted Sword,"" It Evolved Into an Overpowered Magic Sword, 【さびついた剣】を試しに強化してみたら、とんでもない魔剣に化けました. When I Tried Strengthening ""Rusted Sword,"" It Evolved Into an Overpowered Magic Sword, 【さびついた剣】を試しに強化してみたら、とんでもない魔剣に化けました",Manga,Di dunia ini ketika Kamu berusia dua belas tahun Dewa memberimu senjata khusus yang disebut senjata suci Rust seorang anak lakilaki yang tinggal di desa terpencil bermimpi menjadi seorang petualang dengan teman masa kecilnya Ruby Ruby menerima peringkat tertinggi RankA tetapi Rust menerima pedang berkarat peringkatF yang babak belur Tidak seperti teman masa kecilnya yang direkrut oleh party peringkat atas Rust diberitahu bahwa mimpinya menjadi seorang petualang tidak akan pernah terwujud tetapi dia tidak menyerah dan memutuskan untuk bertarung dengan pedang berkaratnya Dia mengalahkan monster lemah sedikit demi sedikit dan terus memperkuat pedangnya yang berkarat Pada akhirnya setelah tiga tahun Pedang Berkarat itu mencapai level senjata 10 Pada saat itu sebuah keterampilan luar biasa telah terbangun dari pedang berkarat itu dan itu berkembang menjadi pedang magis yang sangat kuat Ini adalah kisah petualangan seorang anak lakilaki yang selalu direndahkan bahwa dia adalah yang terlemah,"Action, Adventure, Fantasy, Shounen","HASEGAWA Shunya, MANNO Mizuki",Yaeichi,8.2,https://westmanga.fun/wp-content/uploads/2021/11/okasopdkapsodkoapskdopaskdopkasopd-e1637754041266-203x300.jpg,2021
Cold,"""Cold"" College Student x College Student.",Manga,wansut,"Oneshot, Romance",Tony Hashimen,-,7.12,https://westmanga.fun/wp-content/uploads/2023/04/Cold-213x300.jpg,-
Honyaku no Sainou de Ore Dake ga Sekai wo Kaihen Dekiru Ken,"[Honyaku] no Sainou de Ore Dake ga Sekai wo Kaihen Dekiru Ken: Hazure Sainou [Honyaku] de Kizukeba Sekai Saikyou ni Nattemashita, ""Honyaku"" no Sainou de Ore Dake ga Sekai wo Kaihen Dekiru Ken ~Hazure Sainou ""Honyaku"" de Kizukeba Sekai Saikyou ni Nattemashita~, 翻訳】の才能で俺だけが世界を改変できる件 ～ハズレ才能【翻訳】で気付けば世界最強になってました～",Manga,Noah lahir dalam keluarga bangsawan sihir bergengsi Ardeheim dan diharapkan memiliki masa depan yang cerah tetapi dia menghabiskan hariharinya diperlakukan dengan dingin oleh keluarganya karena mereka mengetahui bahwa dia adalah anak berbakat yang tidak ada hubungannya dengan pertempuran nama kemampuan itu adalah Translate Noah yang meninggalkan rumah pada usia 15 tahun membaca buku mantra kuno dengan bakat Translate yang dia miliki dan menjadi seorang petualang tanpa mengetahui bahwa dia telah menjadi penyihir terkuat di dunia Membantu seorang putri di jalan mengalahkan monster kelasS Fafnir dan disukai oleh gadis yang sedang tidur di reruntuhan kuno membuat semua orang akan terkejut Mengungkap dan memodifikasi dunia dengan kekuatan dan bakat sihir kuno Petualangan Noah bersama haremnya dimulai,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Romance",AONO Hakuto,MARU Tomoyuki,7.0,https://westmanga.fun/wp-content/uploads/2022/06/Honyaku-no-Sainou-de-Ore-Dake-ga-Sekai-wo-Kaihen-Dekiru-Ken-212x300.jpg,-
Its Too Precious and Hard to Read 4P Short Stories,"""It's Too Precious and Hard to Read !!"" 4P Short Stories, ""Tootosugite yomenaaaaaaai!!"" 4P Short Stories, 4P 短篇故事集, Bộ Truyện Ngắn Siêu Ngọt Siêu Ngấy, One-Sided Love Graduation, Punishment Game (SHIRO Manta), Четырёхстраничные истории, “Tōto sugite yome na ~a~a~a~a~a~a i! ! ” 4 P shōto sutōrīzu, “尊すぎて読めなァァァァァァい!!”4Pショート・ストーリーズ",Manga,"Kumpulan cerita pendek lucu dan manis untuk dinikmati semua orang
yak silahkan menggula","Anthology, Comedy, Drama, Oneshot, Romance, School life, Shoujo, Slice of Life","9ºC, Ameno, Anthology, ARAOKA Aoi, ASAI Okuta, Azuma Fuyu, Bimita, CHACHA Goma, DOROKAWA Megumi, Fujita, HATA Natsuha, KAKITSUBATA Waka, KAMENA Yuu, KASHIWAGI Kano, Kishirimo, KONNO Paru, ma2, Majiko, MAKI Keigo, Matsumoto Bokkuri, MATSUMOTO Purittsu, Medamayaki, Migihara, Miiko, Momose, MORIKAWA Yuu, NATSU Samako, NOUICHI Nye, Otsuji, Oyamada Sachiko (幸子), Sekaneko, Shiro Manta, SORATO Shunsuke, Suzuyuki, TACHI Aoi, tunral, UMA Agri, WAKABAYASHI Toshiya, YAMAGUCHI Eito, YONODA Kishi","9ºC, Ameno, ARAOKA Aoi, ASAI Okuta, Azuma Fuyu, Bimita, CHACHA Goma, DOROKAWA Megumi, Fujita, HATA Natsuha, KAKITSUBATA Waka, KAMENA Yuu, KASHIWAGI Kano, Kishirimo, KONNO Paru, ma2, Majiko, MAKI Keigo, Matsumoto Bokkuri, MATSUMOTO Purittsu, Medamayaki, Migihara, Miiko, Momose, MORIKAWA Yuu, NATSU Samako, NOUICHI Nye, Otsuji, Oyamada Sachiko (幸子), Sekaneko, Shiro Manta, SORATO Shunsuke, Suzuyuki, TACHI Aoi, tunral, UMA Agri, WAKABAYASHI Toshiya, YAMAGUCHI Eito, YONODA Kishi",7.6,https://westmanga.fun/wp-content/uploads/2021/12/4a18ccf6-3038-4fcb-a44d-598d1c4bc7b3.jpg.256-212x300.jpg,2019
Jako ni wa Kaji ga Oniaida www to Iwareta Kaji Level 9999 no Ore Tsuihousareta no de Boukensha ni Tenshoku suru Saikyou de Musou Shinagara Guild de Tanoshiku Kurashimasu,"「雑魚には鍛冶がお似合いだwww」と言われた鍛冶レベル9999の俺、追放されたので冒険者に転職する, 「雑魚には鍛冶がお似合いだwww」と言われた鍛冶レベル9999の俺、追放されたので冒険者に転職する ～最強武器で無双しながらギルドで楽しく暮らします～",Manga,Makina seorang pandai besi yang bekerja di guild terkenal Silver Wings dikeluarkan dari guildnya Alasannya Anggota serikat yang tidak menghargai senjata mereka percaya bahwa membelinya lebih hemat biaya daripada menggunakan jasanya Bingung dan tidak yakin dengan masa depannya Makina menerima undangan dari teman masa kecil sekaligus petualangnya Aria Dia bergabung dengan guild Aria Rainbow Butterflies Di sinilah bakat pandai besi Makina benarbenar bersinar Dengan senjatanya di tangan anggota guild mereka secara kolektif bangkit menjadi yang terkuat,"Action, Adventure, Comedy, Fantasy, Harem, Seinen",HARIYA Keita,MITSUKOSHI Haruha,7.2,https://westmanga.fun/wp-content/uploads/2023/11/Jako-ni-wa-Kaji-ga-Oniaida-www-to-Iwareta-Kaji-Level-9999-no-Ore-Tsuihousareta-no-de-Boukensha-ni-Tenshoku-suru-–-Saikyou-de-Musou-Shinagara-Guild-de-Tanoshiku-Kurashimasu-copy.jpg,-
Kawaii wa Kimi no mono,"The Cute One Is You!, ""かわいい""はキミのもの",Manga,Tamaru seorang anak lakilaki imut kecil berwajah bayi jatuh cinta pada Morinaga seorang gadis tinggi dan keren Tamarukun berpikir dia tidak cukup baik untuknya tapi suatu hari dia melihat Morinaga dengan cara yang sangat tak terduga baginya,"Comedy, Romance",Iunosu (Story & Art),-,7.0,https://westmanga.fun/wp-content/uploads/2021/09/Kawaii-211x300.jpg,-
Kukuku He is the weakest of the Four Heavenly Monarchs I was dismissed from my job but somehow I became the master of a hero and a holy maiden,「ククク……。奴は四天王の中でも最弱」と解雇された俺、なぜか勇者と聖女の師匠になる,Manga,kalau begitu  lanjutkan dan mati  capsodia si kalajengking kematian level 1 disebut terlemah dan diusir dari posisinya sebagai salah satu dari empat raja surgawi di tentara raja iblis dia berencana untuk bersembunyi di wilayah manusia sampai keadaan sedikit mereda tetapi dia diidolakan oleh pafimia seorang srikandi bertelinga binatang dan sharon seorang saint berukuran pint  memperkenalkan kisah fantasi luar biasa yang penuh dengan kegembiraan ,"Action, Comedy, Fantasy",Nobuno Masayuki,-,8.0,https://westmanga.fun/wp-content/uploads/2021/06/kukuku-204x300.jpg,-
MouHatarakitakunaindesu Boukensha Nanka Yamete yaru Imasara Taiguu wo Kaerukara to Onegai sarete mo Okotowaridesu Boku wa Zettai Hatarakimasen,『もう‥‥働きたくないんです』冒険者なんか辞めてやる。今更、待遇を変えるからとお願いされてもお断りです。僕はぜーったい働きません。,Manga,Aix adalah petualang ERank berusia 19 tahun Dia adalah penyihir ajaib yang hanya berspesialisasi dalam Effect Duration Extension Dia telah menghabiskan lima tahun terakhir bekerja seperti budak sepanjang waktu sepanjang minggu Ketika dia akhirnya pingsan karena kelelahan dan terbangun di depan pintu rumahnya dia akhirnya berdamai dengan dirinya sendiri Aku akan berhenti dari pekerjaan ini Setelah berhenti dari pekerjaannya sebagai seorang petualang Aix mengumumkan bahwa dia tidak akan bekerja lagi Orangorang yang telah menikmati manfaat dari penyebab sihir pemula yang luar biasa lama dari Aiz panik ketika mereka menyadari bahwa tidak ada yang menggantikannya tetapi sudah terlambat Dia tersenyum dan menolak semua ancaman dan upaya untuk memaksanya Aku tidak akan pernah bekerja lagi Kehidupan baru penyihir pemula yang telah diberitahu bahwa dia tidak akan bekerja dimulai sekarang,"Adventure, Fantasy",Bakuen,-,7.0,https://westmanga.fun/wp-content/uploads/2021/11/Hatarakitakunaindesu-211x300.jpg,-
Shop Skill Sae Areba Dungeonka Shita Sekai Demo Rakushou da,"""ショップ"" スキルさえあれば、ダンジョン化した世界でも楽勝だ ～迫害された少年の最強ざまぁライフ～",Manga,dengan keterampilan dan semua alat serta senjata ini akulah yang terkuat di dunia ini,"Action, Adventure, Fantasy, Supernatural",Sui TOMOTO,-,7.0,https://westmanga.fun/wp-content/uploads/2022/04/Shop-Skill-Sae-Areba-Dungeon-ka-Shita-Sekai-Demo-Rakushou-da-210x300.jpg,-
Super no Ura de Yani Suu Hanashi A Story About Smoking at the Back of the Supermarket,スーパーの裏でヤニ吸う話,Manga,"Sasaki seorang pegawai yang terlalu banyak bekerja melewati hari yang penuh tekanan hanya untuk satu lampu di ujung terowongan Yamada pegawai yang selalu ceria di toko serba ada favoritnya
Suatu hari Sasaki menghabiskan lebih banyak waktu untuk rapat perusahaan dan saat ia tiba di toko serba ada Yamada sudah kehabisan waktu Namun saat dia pergi dia melihat seorang wanita muda dengan tindikan merokok di belakang toko","Comedy, Romance",Jinushi,-,7.8,https://westmanga.fun/wp-content/uploads/2021/11/Super-no-Ura-de-Yani-Suu-Hanashi-204x300.jpg,-
