title,alt_title,type,description,genre,author,artist,rate,image,released
"Botsuraku Yotei nano de, Kaji Shokunin wo Mezasu",没落予定なので、鍛治職人を目指す,Manga,"Tokoh utama terlahir kembali sebagai karakter dari permainan yang dimainkannya di kehidupan sebelumnya Karakter ini jatuh ke dalam kehancuran bersama dengan penjahat menghabiskan tahun terakhir mereka bersamasama Seorang pria bernama Kururi Helan
 
 

 Post Views 15","Comedy, Fantasy, Isekai, Shounen","Ishida, Aya (Art), CK (Story)",-,7.2,https://komikcast.cz/wp-content/uploads/2017/05/1200x630bb.jpg?w=225&q=50,"Feb 9, 2017"
Immortal Swordsman in The Reverse World,,Manhua,"Chu Qing adalah seorang kultivator ahli pedang yang 300 tahun lalu tidak sengaja memasuki dunia peri Selama 300 itu dia memulai perjalanan kultivasi nya Pada saat mencapai alam ke abadian tidak di duga dia malah membuka lorong ruang dan waktu dan kembali ke bumi pada usia 17 tahun Tapi pada saat dia melihat situasinya ternyata itu bukan bumi yang dulu nya dia pernah tinggali tetapi dunia terbalik antara peran wanita dan pria Bagaimanakah perjalanan dia untuk menemukan cara kembali ke dunia aslinya dan mengalahkan serta menaklukan para wanita kuat di dunia tersebut

 Post Views 43","Action, Adventure, Ecchi, Fantasy, Harem, Martial Arts, Romance, Supernatural",A big cat,-,7.8,https://komikcast.cz/wp-content/uploads/2021/03/45361-1-e1615779984524.jpg?w=225&q=50,2019
Ark The Legend,아크 더 레전드,Manga,"Setelah berdiri di puncak permainan Dunia Baru Ark alias Kim Hyeonwoo menghabiskan harihari yang membosankan sebagai penasihat dan sutradara Suatu hari dia mendengar dari NIS bahwa Lucifer seorang kecerdasan buatan yang merupakan saingannya di Dunia Baru telah melarikan diri ke dunia nyata Lucifer yang menduduki generator nuklir secara ilegal mengundang Ark ke game luar angkasa baru Galaxian Pengguna Ark dari Dunia Baru harus berpartisipasi dalam kompetisi ini Ark pemain terkuat di Dunia Baru memasuki permainan untuk menghentikan Lucifer Ketahanan belati paduan telah mencapai batasnya Aku kehilangan belati paduan Aku  Ark kehilangan satusatunya barang miliknya dan terjebak dalam tutorial Kehidupan newbie luar angkasa tidak semudah yang kalian pikirkan bisakah Ark bertemu Lucifer






 Post Views 8","Action, Adventure, Fantasy","Hwang Juyeong (Soy Media) & Yoo Seong (II) (Author), T-SYS (Soy Media) (Artist)",-,7.0,https://komikcast.cz/wp-content/uploads/2022/12/atl23523423432-e1672187712490.jpg?w=225&q=50,2022
Damedol to Sekai ni Hitori Dake no Fan,A Useless Idol and the Only Fan in the World,Manga,"Seorang idol yang tidak pandai bernyanyi dan menari dan fan satusatunya kisah tentang interaksi yang berharga di antara keduanya







 Post Views 8","Comedy, Romance",Kishirimo,-,7.0,https://komikcast.cz/wp-content/uploads/2023/05/dts623523432-e1684419640571.jpg?w=225&q=50,2022
Tonari no Kimi ga Ichiban Kawaii,"You, the One Sitting Next to Me, Are the Cutest, Kamu yang duduk di sebelahku adalah yang paling imut, 隣の君が一番かわいい",Manga,"Hoshikawa Yuu seorang anak lakilaki yang cukup imut sampai membuat orangorang mengira dia adalah anak gadis Dan Kohinata Akari teman sekelasnya yang yang belakangan pindah ke kursi di sebelahnya Ini adalah cerita tentang dua anak SMA yang duduk bersebelahan dan saling menganggap pihak lainnya adalah yang terimut



 Post Views 10","Comedy, Romance",ma_trii,-,7.23,?w=225&q=50,2020
The Returning Warrior’s Alley Restaurant,"Street Restaurant of a Returned Hero, The Returned Hero's Backstreet Café, Ресторан «Аллея возвратившегося солдата»",Manhwa,"Kyungho kembali ke Bumi setelah 10 tahun menyelamatkan Dunia Roh dari Dunia Iblis Namun Bumi tempat dia kembali diserang oleh dunia setan seperti bagaimana dunia roh diserang Akankah Kyungho yang bermimpi hidup normal dengan ibunya dengan mengoperasikan restoran bisa melindungi Bumi

 Post Views 25","Action, Fantasy","Geon ma (Author), Gimmuel, Tangsyug (Artists)",-,7.0,?w=225&q=50,2020
TRPG Player ga Isekai de Saikyou Build wo Mezasu,Min-Maxing My TRPG Build in Another World,Manga,"Manga TRPG Player ga Isekai de Saikyou Build wo Mezasu Ditugaskan setelah kematiannya untuk menyelamatkan dunia yang dalam bahaya seorang fanatik Tabletop RPG terlahir kembali sebagai anak petani yang rendah hati dengan buku aturan untuk alam semesta di ujung jarinya Namun pencarian Erich muda untuk pembentukan karakter yang tak terkalahkan akan membutuhkan lebih dari beberapa dekade sebagai munchkin pengolah angka Bahkan dengan keterampilan peningkat kekuatan kehidupan feodal tidak semudah berjalan diatas kue  terutama ketika kau terus menarik lebih banyak perhatian daripada yang bisa kau tangani Bisakah Erich beradaptasi dengan dunia barunya yang aneh sebelum dorongan terburuk membuat kampanye seumur hidupnya benarbenar keluar jalur Biarkan dadunya jatuh di mana pun mereka berada

 Post Views 10","Action, Adventure, Comedy, Fantasy, Isekai, Romance",?,-,7.0,https://komikcast.cz/wp-content/uploads/2022/12/asdasdadsadsadasdad.jpg?w=225&q=50,?
"Come on Out, Romeo","The Events of Romeo’s Household, 出てきてください、ロミオ, 나오세요, 로미오",Manhwa,"Romeo Montague seorang anak lakilaki dilemparkan ke loteng dengan jijik setelah kecelakaan lima tahun lalu Meskipun dunia mengenalnya sebagai anak lakilaki yang tidak dapat bergerak karena penyakit yang dideritanya yang mengerikan ia menjalani kehidupan yang bahagia dan berbuah sebagai pertapa di loteng Hanya sepupunya Benvolio dan pengurus rumah tangga Miriam tahu yang sebenarnya
Tetapi kedamaiannya pecah ketika saudara Miriam Abram memasuki mansion
Aku akan mengeluarkanmu dari ruangan ini dengan kakimu sendiri
Kau tidak perlu membuat janji seperti itu
Romeo mulai memecahkan berbagai masalah Abram dengan satu pemikiran dan tekad untuk menjaga kedamaiannya di loteng
Sementara itu musuh yang tak terduga muncul di depannya dengan setengah hati

 Post Views 16","Action, Drama, Historical, Mystery, Romance, Shounen",yangmo,-,7.0,?w=225&q=50,2021
Fumetsu no Anata e,不滅のあなたへ,Manga,"An immortal being was sent to the surface of the earth and met a boy living alone in the middle of tundra The being can take the shape of dying things but only if the impetus is stronger than the previous one What sort of experiences and meetings will the being encounter while living forever
Source MU


 Post Views 5","Drama, Shounen, Supernatural","Ooima, Yoshitoki (Story & Art)",-,8.29,https://komikcast.cz/wp-content/uploads/2017/12/20131v14-scaled-e1609750923288.jpg?w=225&q=50,"Nov 9, 2016"
"Saikyou Kenshi, Saiteihen Kishidan de Funsenchuu ~Orc wo Chi no Hate Made Oitsumete Zettai ni Shimatsu suru dake no Kantan? Nao Shigotodesu~","The strongest knight works hard on the lowest knight order ~ Hunt the orcs until the end of earth that’s easy~, 最強剣士、 最底辺騎士団で奮戦中 ～オークを地の果てまで追い詰めて絶対に始末するだけの簡単？なお仕事です～",Manga,"Ksatria Anti Spesies Asing Berbahaya Kerajaan dibentuk untuk melindungi orangorang dari monster berbahaya namun ini tidak lebih dari sebuah perusahaan hitam dan hanya sebuah ordo ksatria dalam nama saja Orc yang terus datang seperti hama tidak peduli berapa kali mereka dibasmi gaji yang tidak naiknaik sama sekali rekan kerja yang unik Ini adalah kisah pendekar pedang terkuat dengan latar belakang orang biasa yang bekerja keras setiap hari memotong kepala orc di urutan ksatria terendah yang sering diejek sebagai Pemburu Babi

 Post Views 10","Action, Adventure, Comedy, Fantasy",Kuusengata,-,7.0,https://komikcast.cz/wp-content/uploads/2023/02/Saik.jpg?w=225&q=50,2022
