title,alt_title,type,description,genre,author,artist,rate,image,released
The Hero Returns,"Hero, Returns, 영웅, 회귀하다, Герой возвращается, Heroe, regresa",manga,"The strongest hero of humanity, Kim Sung Bin.

He threw everything on the line and fought… but he still couldn’t prevent the destruction of the world.

However, his legend has just begun as he returns 20 years into the past.

“I’ll definitely… kill it this time.”

Now fully equipped with overwhelming power and experience, the hero’s raid isn’t over yet!","Time Travel, Monsters, Action, Long Strip, Adventure, Magic, Drama, Fantasy, Web Comic, Adaptation, Full Color",B. Ain (흑아인),Yoon Goon (윤군),8.1263,https://mangadex.org/covers/e0966537-58a1-421b-8ea9-3e7f02d703c4/5cef80fc-a670-45ad-bfdb-3c9869445691.jpg,2022
Juujika no Rokunin,"La cruz de seis personas, Six People on Crosses, Распятие Шести, 十字架のろくにん, Cross of Six Men",manga,"”Is it okay to kill people?""  
A treacherous revenge suspense by Shiryu Nakatake, a newcomer to Bessatsu Shonen Magazine.  

""Shun, if someone is converted, let him go and do nothing. He should be given a chance to be reborn.""  

""Grandpa, I hope he doesn't reincarnate himself.""  
In order to defeat several non-human monsters, the boy also became something non-human.  

Shun Uruma, a sixth-grade student, was named ""Experimental body: A"" by five of his classmates and was severely bullied and lived in hell. His only peace was with his brother, who loved him, and his parents, who protected him…. . until the five monsters killed his family.  

When he finally loses everything and faces true hell, a dark ""wish"" is born inside Shun. He was reborn under the training of his grandfather, who served in a secret unit during WWII. Now, four years later, he appears in front of his fated enemy.  

""I won't let ANYONE get in the way of my revenge.""","Thriller, Psychological, Sexual Violence, Harem, Gore, Drama, Tragedy",Nakatake Shiryuu,Nakatake Shiryuu,7.7258,https://mangadex.org/covers/00446151-d199-45d6-8671-821db1151e6c/b6810c0f-9577-473a-867b-4864fdc5c147.jpg,2020
Gensou Gourmet,"Fantasy Gourmet, Gourmet in different world., 幻想グルメ, 幻想グルメ〜健康で文化的な最低限度の異世界生活〜",manga,"One day, Shunichirou suddenly transferred to a different world.  
His reason for living in this different world… to see, touch, and smell, -eating unknown food!  
Along with Sylphin, a Beastman Maid, they have an adventure eating fantasy gourmet in a different world!  
  


---

**Links**  
[Original Webnovel](https://ncode.syosetu.com/n4940de/)  
[Author's Twitter](https://twitter.com/amaneko2)","Monsters, Demons, Comedy, Office Workers, Isekai, Fantasy, Monster Girls, Slice of Life, Cooking, Supernatural, Adaptation",Amana Kouta,Otsuji,8.4639,https://mangadex.org/covers/ede48b14-8d83-41cb-9559-c7d859fd23fc/619423f3-d5ed-433f-8eb6-6aa97962ec61.jpg,2016
Release That Witch,"Освободите эту Ведьму, 放开那个女巫",manga,"A male engineer transmigrated into another world, and became a prince. This place strikingly resembles the Middle Ages of Europe, but at the same time, it seems kind of different? Witches truly exist, and they even possess magic powers! Magic powers are productive forces! Save the witches, liberate the productive forces! Open map, fight demons, break conspiracies, climb up the science and technology tree, and open the path of hardcore ‘farming’!","Action, Demons, Long Strip, Romance, Adventure, Magic, Harem, Military, Isekai, Drama, Fantasy, Web Comic, Supernatural, Adaptation, Full Color",Er Mu,Dr. Woodman,8.1814,https://mangadex.org/covers/aafb046c-9de4-4c3d-990c-6d75b079c0b9/ee278e22-9bfb-4b1b-9681-f8782b93e57b.jpg,2018
Jack Jeanne: PUPPET,"PUPPET, Марионетка",manga,,"Oneshot, Drama, Mystery",Ishida Sui,Ishida Sui,6.6,https://mangadex.org/covers/9065edbb-87ce-4286-8f17-3e78560ce711/992dd4cb-ae7a-4892-86ef-6394501495ef.jpg,2022
Arknights: Rhodes Kitchen -TIDBITS-,"罗德厨房——回甘, アークナイツ ロドスキッチン -TIDBITS-",manga,"This is a collection of files regarding the daily lives of Rhodes Island's operators as they relate to food. May the smells of the kitchen warm our hearts and guide us true on the road ahead. The past is gone, it's good for now.","Sci-Fi, Fantasy, Web Comic, Slice of Life, Cooking, Adaptation",Hypergryph,Bakanoko,9.1337,https://mangadex.org/covers/7431ff7d-ad63-4831-bd1e-e63aef2da6bc/ab11b5c2-2591-458b-9ba9-cb01b1b75be4.jpg,2022
Kuroko no Basket - Kagami-kun's Lover (Doujinshi),El amante de Kagami-kun,manga,,"Romance, Comedy, Boys' Love, Doujinshi",YS (Satou),YS (Satou),,https://mangadex.org/covers/ff3d3cc0-4325-4549-b922-72a866d41213/bc03af41-1d33-4257-8846-a1bb0890e045.jpg,2013
P.S. Waiting for You by the Lake,"利奥, Leo, P.S.我在湖边等你",manga,"Leo and Alexis lived in the same small town when they were kids and were best buddies. The two loved to spend their summers at the Green Rock Lake summer camp near town. But during the summer when they were eleven, Alexis ended his friendship with Leo over a stupid reason. After that, the two did not see each other again because of their families' situation. But during the summer when they were eighteen, the two met once again at Green Rock Lake...","Long Strip, Boys' Love, Drama, School Life, Slice of Life, Full Color",小文humiko,小文humiko,7.7586,https://mangadex.org/covers/b3293575-94bb-4467-b992-4de2174615f7/0edaf4a5-0079-4e93-9b3b-79f898c9d691.jpg,2022
Herami Shimai wa Docchi mo Yanderu,"平良深姉妹はどっちもヤんでる, Insecure Herami Sisters, The Yandere Little Sister and the Menhera Big Sister, La hermana pequeña Yandere y la hermana mayor Menhera, 平良深姐妹都“病”得不轻",manga,"Sera, (Real Name: Herami Sera) is an approval-seeking girl (26 years old) who works at a maid cafe. Her younger sister, Kira, is an idol (19 years old) who is rapidly gaining popularity with her cool, and mature character. However, the real Kira only ever thinks of her sister and tries to cheer her up in every possible way to help her sister with her mental health and anxiety.","Comedy, Incest, Girls' Love, Drama",Kaneko Aru,Kaneko Aru,8.4576,https://mangadex.org/covers/c7cc0e57-aa04-42d7-a726-822f66718a35/63638f4e-157b-4ae3-84b6-acc186d9a279.jpg,2022
Half Succubus wo Hirotta,"ハーフサキュバスを拾った, Taking Home a Half Succubus, Llevando a casa una medio súcubo",manga,Take a child half succubus and half human.,"Loli, Comedy, Web Comic, Slice of Life, Full Color",Zurikishi,Zurikishi,7.8759,https://mangadex.org/covers/f654255b-a884-4141-a568-c94561da31b6/1021308f-8511-4f29-9c4a-3a4c471de3ac.jpg,2022
